id,name,abv,ibu,target_fg,target_og,ebc,srm,ph
289,Hello My Name Is Lieke,8.2,70,1009,1070,15,8,4.4
138,Dog A,15.0,90,1003,1120,100,50,4.4
84,Baby Saison - B-Sides,3.6,9,1004,1032,2,1,4.4
325,Zipcode,5.0,37,1006,1044,5,3,4.4
2,Trashy Blonde,4.1,41.5,1010,1041.7,15,15,4.4
185,Tactical Nuclear Penguin,32.0,1157,1028,1157,250,127,4.4
82,Hopped-Up Brown Ale - Prototype Challenge,6.3,85,1015,1063,24,12,4.2
25,Bad Pixie,4.7,45,1010,1047,8,4,4.4
6,Electric India,5.2,38,1005,1045,15,7.5,4.4
82,Hopped-Up Brown Ale - Prototype Challenge,6.3,85,1015,1063,24,12,4.2
224,AB:20,14.2,20,1120,1025,67,34,4
27,Dog B,15.0,90,1003,1120,100,50,4.4
120,AB:10,11.5,80,1020,1096,115,57.5,4.4
158,Hello My Name Is Zé (w/ 2Cabeças),6.4,50,1012,1061,20,10,4.4
195,Hello My Name Is Holy Moose,5.5,35,1011,1053,25,12.5,4.4
258,Paradox Rye,13.0,100,1015,1112,300,152,4.4
28,HBC 369,6.7,67,1064,1013,19,9.5,4.4
53,Baby Dogma,4.5,35,1013,1048,40,20,4.4
288,Hello My Name Is Agnetha,8.2,70,1009,1070,15,8,4.4
44,Dog Wired (w/8 Wired),7.1,65,1010,1065,13,6.5,4.4
96,Lumberjack Stout,15.2,20,1020,1110,158,79,4.4
126,Jet Black Heart,4.7,45,1019,1055,200,100,4.4
197,Moshi Moshi 15,5.2,45,1011,1048,35,17.5,4.4
88,Bavarian Weizen,6.3,55,1012,1060,30,15,4.4
258,Paradox Rye,13.0,100,1015,1112,300,152,4.4
30,Dana - IPA Is Dead,6.7,70,1015,1066,30,15,4.4
46,Anarchist Alchemist,16.5,20.5,1000,1112,20,10,4.4
284,Hello My Name Is Helga,8.2,70,1009,1070,15,8,4.4
199,Alice Porter,5.2,55,1013,1053,165,82.5,5.2
290,Hello My Name Is Niamh,8.2,70,1009,1070,15,8,4.4
144,Tokyo*,16.2,85,1028,1157,250,127,4.4
250,Small Batch: Rye IPA,7.2,100,1010,1065,8,16,4.4
193,Blitz Berliner Weisse,3.0,8,1040,1007,9,4.5,3.2
319,Grano Giusto,5.5,28,1009,1052,55,28,4.3
187,Lichtenstein Pale Ale,5.2,50,1010,1050,17,8.5,4.4
94,Everday Anarchy,10.5,45,1005,1081,15,7.5,4.4
141,Cap Dog (w/ Cap Brewery),9.0,80,1014,1083,180,90,5.2
13,Movember,4.5,50,1012,1047,140,70,5.2
151,Rhubarb Saison - B-Sides,6.4,25,1008,1052,10,5,5.2
70,Sunmaid Stout,10.2,50,1102,1026,197,100,4.4
248,Twin Atlantic,5.0,80,1011,1048,19,9.7,5.2
7,AB:12,11.2,35,1017,1108,80,40,5.3
136,#Mashtag 2014,9.0,50,1015,1084,20,10,4.4
5,Avery Brown Dredge,7.2,59,1027,1069,10,5,4.4
56,Black Eyed King Imp,9.5,85,1022,1095,250,125,4.4
284,Hello My Name Is Helga,8.2,70,1009,1070,15,8,4.4
225,Paradox Islay 2.0,13.0,100,1112,1015,300,152,4.4
179,How To Disappear Completely,3.5,198,1010,1037,37,19,4.4
45,The Physics,5.0,47,1010,1048.5,65,32.5,4.4
133,Black Eye Joe (w/ Stone Brewing Co),5.8,40,1008,1053,177.3,88.7,4.4
163,This. Is. Lager,4.7,37,1007,1043,10,6,4.2
161,Tokyo Rising Sun - Highland,13.2,85,1023,1125,140,71,4.4
157,Edge,2.7,36,1010,1033,57,29,4.4
173,Chinook - IPA Is Dead,7.2,100,1010,1064,12,6,4.4
227,Brewdog Vs Beavertown,9.2,50,1085,1016,78.8,40,4.2
14,Alpha Dog,4.5,42,1025,1046,62,31,4.4
25,Bad Pixie,4.7,45,1010,1047,8,4,4.4
222,Dog E,16.1,100,1125,1015,500,254,4.4
252,Small Batch: Dortmunder,4.9,32,1009,1049,15,7.62,5.2
102,Peach Therapy,9.0,30,1000,1071,12,6,3.6
286,Hello My Name Is Aune,8.2,70,1009,1070,15,8,4.4
39,Kohatu - IPA Is Dead,7.2,70,1012,1067,30,15,4.4
286,Hello My Name Is Aune,8.2,70,1009,1070,15,8,4.4
16,Libertine Porter,6.1,45,1020,1067,219,109.5,4.4
196,Catherine's Pony (w/ Beavertown),8.8,40,1017,1084,190,95,4.5
81,India Session Lager - Prototype Challenge,4.4,35,1007,1040,12,6,4.4
146,Nelson Sauvin,7.5,75,1013,1068,30,15,4.4
143,Lizard Bride - Prototype Challenge,5.7,35,1009,1053,25,12.5,4.4
38,Belgian Trappist,6.3,55,1012,1060,30,15,4.4
271,Small Batch: Cranachan Cream Ale,6.5,8,1019,1069,10,5,4.3
221,Blitz Series,3.2,8,1032,1007,8,3,3.2
233,Ace Of Citra,4.5,40,1011,1045,18,9,4.2
315,Baltic Fleet,7.2,45,1016,1071,120,61,4.2
325,Zipcode,5.0,37,1006,1044,5,3,4.4
20,Rabiator,10.27,26,1014,1092,24,12,4.4
5,Avery Brown Dredge,7.2,59,1027,1069,10,5,4.4
159,Black Tokyo Horizon (w/Nøgne Ø & Mikkeller),17.2,75,1030,1156,128,64,4.4
89,Citra,7.5,70,1013,1068,30,15,4.4
207,International Arms Race (w/ Flying Dog),7.5,0,1013,1069,50,25,4.4
86,Original Dogma (Née Speedball),7.8,60,1012,1071.3,31,15.5,4.3
81,India Session Lager - Prototype Challenge,4.4,35,1007,1040,12,6,4.4
213,El Dorado - IPA Is Dead,6.7,70,1015,1066,30,15,4.4
128,White Noise,6.8,50,1012,1060,30,15,4.4
306,AB:25,13.3,35,1020,1113,90,46,4.2
285,Hello My Name Is Sari,8.2,70,1009,1070,15,8,4.4
156,Hoppy Christmas,7.2,70,1012,1067,30,15,4.4
120,AB:10,11.5,80,1020,1096,115,57.5,4.4
20,Rabiator,10.27,26,1014,1092,24,12,4.4
313,Mallow Mafia,12.0,75,1025,1116,390,198,4.4
31,Nanny State,0.5,55,1005,1007,30,15,4.4
140,Pioneer - IPA Is Dead,7.2,100,1010,1064,12,6,4.4
114,U-Boat (w/ Victory Brewing),8.4,50,1015,1080,200,100,4.4
238,Kingpin,4.7,40,1008,1044,14,7,4.2
161,Tokyo Rising Sun - Highland,13.2,85,1023,1125,140,71,4.4
73,Black Eyed King Imp - Vietnamese Coffee Edition,12.7,85,1038,1113.5,250,125,5.2
155,Old World Russian Imperial Stout,9.5,80,1014,1075,195,97.5,4.5
164,Ella - IPA Is Dead,7.2,100,1010,1064,12,6,4.4
150,AB:13,11.3,50,1020,1098,164,83,4.4
221,Blitz Series,3.2,8,1032,1007,8,3,3.2
153,Hoppy Saison - B-Sides,6.4,40,1010,1059,8,4,5.2
152,Deaf Mermaid - B-Sides,5.2,65,1010,1048,16,8,5.2
239,#Mashtag 2016,10.5,100,1010,1090,15,8,4.4
160,Restorative Beverage For Invalids And Convalescents,8.5,100,1003,1068,15,7.5,4.4
223,Prototype Pils 2.0,4.7,25,1044,1008,25,5,4.2
254,Small Batch: Kellerbier,4.5,25,1011,1043,17,8.6,5.3
160,Restorative Beverage For Invalids And Convalescents,8.5,100,1003,1068,15,7.5,4.4
177,Dog D,16.1,85,1015,1125,400,200,4.3
213,El Dorado - IPA Is Dead,6.7,70,1015,1066,30,15,4.4
7,AB:12,11.2,35,1017,1108,80,40,5.3
250,Small Batch: Rye IPA,7.2,100,1010,1065,8,16,4.4
288,Hello My Name Is Agnetha,8.2,70,1009,1070,15,8,4.4
43,American Wheat,4.5,17,1013,1047,10,5,5.3
147,Hello My Name Is Little Ingrid,4.4,35,1012,1045,30,15,4.4
315,Baltic Fleet,7.2,45,1016,1071,120,61,4.2
97,Bowman's Beard - B-Sides,18.3,50,1011,1067,15,8,5.3
318,Neverland,5.0,40,1007,1048,12,6,4.2
16,Libertine Porter,6.1,45,1020,1067,219,109.5,4.4
310,Clockwork Tangerine,4.5,37,1012,1047,20,10,4.2
25,Bad Pixie,4.7,45,1010,1047,8,4,4.4
26,Skull Candy,3.5,33,1012,1038,50,25,4.4
137,Sink The Bismarck!,41.0,1085,1016,1085,40,20,4.4
149,AB:03,10.5,14,1013,1093,,,4.4
306,AB:25,13.3,35,1020,1113,90,46,4.2
162,77 Lager,4.9,30,1009,1047,12,6,4.4
193,Blitz Berliner Weisse,3.0,8,1040,1007,9,4.5,3.2
321,Jinx Pale Ale,4.7,35,1008,1043,13,7,4.6
63,Sunk Punk,7.1,68,1010,1056,14,7,4.4
136,#Mashtag 2014,9.0,50,1015,1084,20,10,4.4
36,Shipwrecker Circus (w/ Oskar Blues),10.5,85,1022,1102,64,32,4.4
281,Homicidal Puppet Help Desk,11.5,132,1020,1105,45,23,4.1
12,Arcade Nation,5.3,60,1012,1052,200,100,4.2
304,Karma Cloud,6.5,50,1010,1060,35,18,4.4
202,Dog C,15.0,90,1003,1120,100,50,4.4
212,Hop Fiction - Prototype Challenge,5.2,40,1010,1048,13,6.5,4.4
304,Karma Cloud,6.5,50,1010,1060,35,18,4.4
185,Tactical Nuclear Penguin,32.0,1157,1028,1157,250,127,4.4
159,Black Tokyo Horizon (w/Nøgne Ø & Mikkeller),17.2,75,1030,1156,128,64,4.4
73,Black Eyed King Imp - Vietnamese Coffee Edition,12.7,85,1038,1113.5,250,125,5.2
185,Tactical Nuclear Penguin,32.0,1157,1028,1157,250,127,4.4
161,Tokyo Rising Sun - Highland,13.2,85,1023,1125,140,71,4.4
308,Very Big Moose,12.0,25,1038,1128,100,50,4.4
284,Hello My Name Is Helga,8.2,70,1009,1070,15,8,4.4
1,Buzz,4.5,60,1010,1044,20,10,4.4
89,Citra,7.5,70,1013,1068,30,15,4.4
224,AB:20,14.2,20,1120,1025,67,34,4
142,Orange Blossom - B-Sides,3.8,20,1000,1039,6,3,5.2
303,Hazy Jane Rye Barrel Aged,7.2,30,1009,1065,15,8,4.2
44,Dog Wired (w/8 Wired),7.1,65,1010,1065,13,6.5,4.4
280,Make Earth Great Again,7.5,35,1004,1065,9,5,4.6
285,Hello My Name Is Sari,8.2,70,1009,1070,15,8,4.4
256,Small Batch: Vermont IPA,6.9,35,1012,1066,15,7.62,4.2
111,Vagabond Pilsner,4.5,55,1012,1046,25,12.5,4.4
222,Dog E,16.1,100,1125,1015,500,254,4.4
286,Hello My Name Is Aune,8.2,70,1009,1070,15,8,4.4
186,Jasmine IPA,5.8,40,1014,1060,35,17.5,4.4
154,No Label,4.5,25,1009,1043,10,5,4.2
179,How To Disappear Completely,3.5,198,1010,1037,37,19,4.4
129,Hinterland,9.0,85,1025,1094,400,200,4.3
261,Small Batch: Nitro Breakfast Stout,8.0,80,1027,1092,88,44.7,5.2
290,Hello My Name Is Niamh,8.2,70,1009,1070,15,8,4.4
26,Skull Candy,3.5,33,1012,1038,50,25,4.4
279,Slot Machine,5.2,50,1011,1051,50,25,4.3
143,Lizard Bride - Prototype Challenge,5.7,35,1009,1053,25,12.5,4.4
3,Berliner Weisse With Yuzu - B-Sides,4.2,8,1007,1040,8,4,3.2
304,Karma Cloud,6.5,50,1010,1060,35,18,4.4
